x,y,z,r,g,b
-34351,-2540,-240,0,0,255
-33980,-2303,-237,0,0,255
-33584,-2069,-233,0,0,255
-33317,-1848,-231,0,0,255
-32888,-1621,-228,0,0,255
-32742,-1413,-226,0,0,255
-32453,-1201,-224,0,0,255
-32281,-996,-222,0,0,255
-31774,-786,-218,0,0,255
-31681,-589,-218,0,0,255
-31221,-389,-214,0,0,255
-31088,-196,-213,0,0,255
-30850,-5,-211,0,0,255
-30573,181,-209,0,0,255
-30200,364,-206,0,0,255
-29992,546,-204,0,0,255
-29744,724,-202,0,0,255
-29500,899,-200,0,0,255
-29268,1072,-198,0,0,255
-29019,1241,-196,0,0,255
-28665,1402,-194,0,0,255
-28465,1568,-192,0,0,255
-28291,1732,-191,0,0,255
-28141,1896,-190,0,0,255
